Company,Star Rating,Current Employee,Work Duration,Review Title,Date Posted,Job Title,Job Location,Recommend,CEO Approval,Business Outlook,Pros,Cons,Advice to Management
Meta,5.0,1,more than 8 years,Meta has invested in my WHOLE self.,2022-01-25,Technical Recruiting Manager,"Seattle, WA",2,2,2,"Over the last decade, Meta has invested tremendously in my career. I have had 8+ roles across 6 different teams during my time here. I have also been able to be involved in our philanthropy programs, internal coaching, Employee Resource Group Leadership, and been a Learning and Development facilitator. Meta has supported nearly every aspect of my identity both personal and professional and I will always be grateful.","The avenues of communication at Meta are many: messenger, email, workplace notifications, docs notifications, there are a lot of ways to get a hold of someone. It takes a lot of ruthless prioritization to focus.",Always question yourself if 1:1s become too comfortable. Seek feedback always. Embrace a coaching culture for both yourself and your directs.
Meta,5.0,1,more than 1 year,A place that supports its employees - walks the walk and talks the talk,2022-01-25,Human Resources Business Partner HRBP,"Menlo Park, CA",2,2,2,"DEI focus and building programs with fairness in mind
People centered
Amazing and generous benefits
Collaborative and kind coworkers
Open, transparent environment","Big company at scale, can feel like your role is narrowed
Can feel like lots of reorgs, restructures which can feel thrashy and disruptive",
Meta,5.0,1,,Good in pittsburgh,2022-01-28,Software Engineer,"Pittsburgh, PA",0,0,0,"High salary and low cost of living in Pittsburgh,","Less perks comparing to MPK, SEATTLE",
Meta,3.0,0,more than 5 years,Good culture,2022-02-09,Technical Recruiter,"Menlo Park, CA",-1,0,0,"That's the one thing Facebook had going really well when I was working there, the culture was awesome, innovative and inclusive",Politics in leadership and culture has changed over years,
Meta,5.0,0,more than 1 year,Excellent human beings,2022-01-27,Production Engineer,"Menlo Park, CA",2,2,2,Talented peers. Open market place of ideas. Massive opportunities for impact.,"The commute to MPK.

Constant barrage of judgement from external spectators who love to pass comment and not be a part of the solution.",
Meta,4.0,1,more than 3 years,"Great Pay, Crap Code, Lots of Politics",2022-01-27,Software Engineer,"Menlo Park, CA",2,1,1,"- Pay is top of market
- Coworkers are very smart
- RSUs are very competitive and performed well in my time there","Extremely political, lots of people playing games to try and take credit for others work or push blame around. At review time, one person deciding they don't like you can claim that you hurt their feelings one time and based on anecdotal evidence alone kill your promo or lower your rating. You are constantly walking on egg shells

Code quality tends to be poor. To be fair the product isn't exactly critical to the day to day operations of the world and FB being down for a few hours isn't going to kill anyone. Teams focus on getting products out as quickly as possible with little concern for quality or maintainability. There is no QA department and you will not be rewarded for taking extra time to make your project high quality",Be more real. Everything management says comes through as though it's been through 6 layers of PR committee review. It sounds utterly harmless and sensitive to every possible listener. At the same time it is usually utterly meaningless. Would be nice to see some direction and leadership instead of just feelzy tripe.
Meta,5.0,1,less than 1 year,Great,2022-01-26,Model,"Los Angeles, CA",0,0,0,"Fun, easy, exciting, interesting, cool",No cons at all I think,Be nice.
Meta,5.0,1,more than 1 year,Great job,2022-01-26,Product Specialist,"Seattle, WA",0,0,0,"Team, benefits, opportunity for growth",Product Operations is undergoing leadership changes so direction can be unclear at times,
Meta,3.0,1,more than 3 years,Video conferencing engineer salary,2022-02-09,Video Conferencing Engineer,"San Francisco, CA",-1,1,-1,Worklife balance. Cool campus and colleagues.,Easy to get lost in the sauce.,Pay more
Meta,5.0,1,more than 3 years,Opportunities for Growth,2022-01-25,Administrative Specialist Lead,"Austin, TX",2,2,2,Opportunities available that aren't available at other companies (leadership opportunity for previous admin). Autonomy to identify gaps and drive projects. Lots of company resources and strong culture to support you in your growth.,Scaling quickly can cause growing pains but also creates more opportunities and challenges to solve!,Continue to invest in teaching employees best practices for working and managing effectively to create industry leading employees
Meta,5.0,1,more than 1 year,Great place to work,2022-01-25,Technical Sourcer,"Redmond, WA",2,2,2,"- Great Benefits
- Great teammates
- Good food (when we were in the office
- Good perks",- Growing pains (things changing all the time),- Keep regular communication even/especially when teams or org is changing
Meta,5.0,1,more than 5 years,Best work life balance,2022-01-25,Event Marketer,"San Francisco, CA",2,2,2,"- Excellent work-life balance with the ability to fully manage my schedule
- Huge pros for parents to manage child care when needed + work
- Amazing benefits + pay",- It feels like growth is limited based on all the layers we have between our leaders,
Meta,5.0,1,less than 1 year,Love It Here!,2022-01-25,Program Manager,"Atlanta, GA",2,2,2,"Cares for employees
Great pay and benefits
Transparent communication
Forward thinking
Fantastic leadership team","Sometime slow to make decisions without buy-in from everyone under the sun.
Systems and tools have not grown as quickly as the company","Build systems, policies and processes for desired future state."
Meta,5.0,1,less than 1 year,Best Job I've Ever Had! :),2022-01-25,Recruiter,"San Francisco, CA",2,2,2,"Benefits, benefits, benefits. Perks, perks, perks. :) 
Very pleasant environment, Diversity (true diversity), 
You have a voice and you're listened to, and your ideas are considered and valued.
Meta wants us to be comfortable and have everything we need to have a successful, balanced, and healthy workday, every day.",Compensation needs some work but grateful.,
