GE,4.0,1,more than 1 year,Good Company with Uncertain Future,2022-01-20,Mechanical Design Engineer,"Niskayuna, NY",2,1,0,"Flexibility to pursue individual projects
Wide variety of sub-businesses (gas power, wind energy, healthcare, jet engines, etc.)
Focus on innovation and process improvement","Uncertain future regarding split into 3 companies
Managerial confusion with delegation of tasks",
GE,3.0,1,,GE,2022-02-04,Anonymous Employee,,0,0,0,Teams make it a priority to collaborate and learn from each other.,Repeated restructuring has caused a huge drain on the culture.,
GE,3.0,1,more than 8 years,OK,2022-02-04,Chief Operating Officer,"Boston, MA",-1,0,1,Stable company that will last.,Stressed financial situation will continue.,None
GE,5.0,0,,GE,2022-01-19,CEO-Founder,"Seattle, WA",0,0,0,Great company to work for,none as far as I know,
GE,5.0,1,,Love it,2022-01-19,Administrative Assistant,,0,0,0,"Great place, great people and great team","No pension, low pay and too much Overtime",
GE,3.0,1,more than 8 years,Good Place to work,2022-02-02,Service Director,,0,0,0,"Flexibility, room to grow, ability to create your own path","Lack of company pride, slow to move, lack of accountability",
GE,5.0,1,more than 5 years,Great Company to work for,2022-01-19,Senior Program Manager,"Chicago, IL",2,0,2,Work along side of smart people who know the industry and business really well.,A lot of change happening in the company constantly.,
GE,3.0,0,,Family Reason,2022-02-01,Lead Control Engineer,,-1,0,0,I have nothing to say about the group.,Traveling a lot. No career advancement.,None
GE,5.0,1,more than 1 year,Excellent company,2022-01-17,Process Engineer,"McAllen, TX",2,0,2,Good with the people and,Nothing bad with this company,
GE,5.0,1,,good company,2022-01-18,Shift Supervisor,"Cincinnati, OH",-1,1,1,The people I work with are pleasant,The upper management is lacking,
GE,3.0,0,more than 10 years,good company going through major changes,2022-01-31,Engineer,,0,1,-1,large company with a history of great products,so much change and squeezing with ridiculous schedules that its hard to get work done,
GE,5.0,0,,good,2022-01-17,Vice President,,0,0,0,salary is good for level,advancement is slow at times,
GE,5.0,1,,Tbbnbbg,2022-01-17,Enfermeira rotineira,"New York, NY",2,0,2,Professional also wise and futuristic,Remote location far away from any resident areas,Work hard for the HR
GE,2.0,1,,Chaotic Environment,2022-02-01,Senior Site Reliability Engineer,"Houston, TX",-1,1,2,Generous paid time off policy,No one understands what their job or responsibilities are.,"When you introduce good people to broken process, they will continue to leave."
GE,3.0,1,,Higher hopes,2022-01-30,Regional Manager,"Saint Louis, MO",-1,0,-1,"Great pay, benefits, unlimited time off. Car, computer, phone, gas card, all expenses reimbursed.","Heavy workload, poor direct communication. Unorganized and found lack of integrity throughout system from entry level through exectutive mgmt.",
GE,4.0,0,,Great,2022-01-16,Associate,,0,0,0,"Management 
Training 
Team atmosphere 
Growth",Not that many. Locations and building,
GE,5.0,1,,Great company,2022-01-14,Lead Accountant,"Cincinnati, OH",2,2,2,"Huge opportunity for growth, plenty of career opportunities",There tend to be a lot of layoffs,
GE,4.0,1,,Public company,2022-01-14,Lean Leader,"Brookfield, WI",2,0,2,company with great reputation and integrity,Sometimes big company could be too complex and slow,
GE,5.0,0,,a,2022-01-13,Engineer,"Greenville, SC",2,0,1,very large company with room for growth,Very old school company a,
GE,4.0,0,more than 1 year,Good place to work,2022-01-13,Software Engineer,,2,2,1,Strong Market position at the leader in niche market.,There are some older technologies. May not be exposed to the state-of-the-art enterprise solution,Keep up the work and allow budget for more professional training.
GE,3.0,0,,Saudi arabia,2022-01-27,Operations Supervisor,,0,0,0,"Good environment and perks 
Tickets","Long hours
No social life balance",
GE,4.0,0,more than 5 years,Great Company Crummy Politics,2022-01-11,Senior Software Engineer,"Glen Allen, VA",2,2,1,"- Looks great on your resume (This will seriously open doors for you)
- Amazing growth opportunities
- GE does a great job of developing and promoting their talent
- GE tends to promote from within
- Gives you access to projects that you wouldn't find anywhere else (I once installed a security appliance in a power plant in the middle of the dessert)
- Incredible budget for education
- Access to top notch education
- Really great colleagues (Some are frustrating and play politics, the overwhelming majority are really a pleasure to work with.","- A lot of politics. Being right isn't enough, you have to be right and ensure that no one in the hierarchy feels threatened. Alot of people don't even do this, they just kiss up to their manager and play politics in lieu of following best practices and being correct. Ultimately this lead to me leaving
- Health insurance was not very good (which was surprising)
- A lot of beauracracy
- Pay is below industry standard and in general raises/bonus don't keep pace","- Embrace software engineer practices from the West Coast
- Seniority is no substitute for best practices and being correct"
GE,5.0,0,more than 10 years,GE Cares About Employees and Is Making a Comeback!,2022-01-13,Human Resources Partner,"Greenville, SC",2,2,2,"This is a company that cares deeply about employees, development and work-life balance. The talent level of colleagues and leaders is high.","Not the best healthcare plan and benefits package. GE used to be a leader in this area, but has fallen behind.",
GE,4.0,1,,Great Comapny,2022-01-12,Vice President,"Sacramento, CA",0,0,0,"Work life balance; flexibility, good people","Changing management, challenging stretch goals",
GE,1.0,1,,Not as stable as you would think,2022-02-15,Test Engineer,"Dayton, OH",-1,2,2,Lots of potential for overtime,"Terrible union, no training after I was told trading would be provided",
GE,3.0,0,,Could place to start a career,2022-01-23,Skilled Welder,,2,1,2,Looks great on a resume,hard to move up in the company,
GE,4.0,1,more than 1 year,Good job great benefits,2022-01-08,Assembly Line Worker,"Louisville, KY",2,2,2,"Coworkers and the fact that we can have our headphones 
Also most of the team leads are awesome","ABLS have a power complex 
You can possibly get placed on a job you hate or don’t know and your stuck there for MONTHS. It can be rough",Listen to the lower guys more we’re doing a lot of work and our bodies feel it daily
GE,3.0,1,,GE,2022-01-22,Mechanical Engineer,"Houston, TX",2,0,2,Great job opportunities and diversity.,The only way to progress is to change groups or divisions.,
GE,5.0,0,,great place to work,2022-01-07,IT Helpdesk Support,,0,0,0,the salary and perks offered.,"parking is limited, you have to pay",
GE,5.0,0,,A giant,2022-01-05,Treasury Manager,"Colleyville, TX",0,0,0,"Large corporation, amazing training, great compensation, an American icon.","Share value, haunted by bad reviews in regards to shareholder value.",
GE,5.0,1,,Great company,2022-01-05,Audit Associate,,0,0,0,Great place to work as an associate,Work life balance is terrible,Give associates better work life
GE,3.0,1,,Good Company,2022-01-19,"Senior Manager, Analytics","Atlanta, GA",0,0,0,Flexible and can work from home,Do more with less mentality,
GE,4.0,0,more than 10 years,Lots of opportunity,2022-01-05,Lead Engineer,"Buffalo, NY",2,2,0,"If you're willing to stretch yourself, GE will let you. The opportunities are almost endless if you'll put in the hard work and be willing to move locations for career advancing positions.","It's big. It's a machine. Often you'll feel only like ""a number"".",
GE,5.0,1,,Ge,2022-01-04,Digital Technology Leadership Program (DTLP),,0,0,0,Work life balance is great,Salary is not as competitive,
GE,5.0,1,,Great place to work,2022-01-04,Senior Graphic Designer,"Schenectady, NY",2,0,2,"Colleagues are brilliant, professional, and open to my ideas.",Must advocate for career growth.,
GE,4.0,1,,General Electric,2022-01-04,Manager Global Mobility,"Albany, NY",0,0,0,"Permissive Leave, parental leave, culture, development","Salary, benefits, upward mobility, promotion",
GE,1.0,1,,"Poor management , Poor union",2022-02-07,Final Test Technician,"Vandalia, OH",-1,0,-1,Overtime is a open door,"Lack of knowledge in management, no representation from the union",Learn the business and processes involved
GE,3.0,0,,Good until it wasn't,2022-01-15,Human Resources Manager,"Cincinnati, OH",2,1,-1,Better than most companies out there.,Too much change. Can't get used to role.,
GE,3.0,1,,Salary is fair,2022-01-14,Senior Software Engineer,,0,0,0,The work is about research in the area of robotics on different aspects. The work load is pretty fair and easy to accept.,The salary is up to my satisfaction and low to the market,
GE,1.0,1,more than 10 years,Good for fresh college grads,2022-02-04,Commercial Finance Leader,"Atlanta, GA",-1,2,-1,"Great college grad programs
Global opportunities","Company does not invest in employees
Keeps going through restructuring and lay offs
No opportunity of growth, a lot of politics promoting friends
Some leadership has very little expertise and fast track programs are promoting inadequate leaders
Leadership is male prominent",
GE,4.0,0,more than 10 years,Great place to work,2021-12-30,Legal Counsel,,2,2,2,Lots of opportunities to grow and learn; solving hard problems,Large organization makes it hard to act quickly; lots of approvals,
GE,3.0,1,,GE,2022-01-13,Operations Leader,"Greenville, SC",0,0,0,Longevity of company being in business,Poor upper management. Not accountability with employees.,
GE,3.0,1,less than 1 year,Restructure,2022-01-12,Digital Technology Leadership Program (DTLP),"Schenectady, NY",2,2,2,Connections and opportunity and high visibility into big movements,Corporate company that comes with corporate qualities,
GE,4.0,1,,good,2021-12-28,Director,"San Jose, CA",2,2,2,people with solid tech skills,typical corporate with slow decision,
